id,title,price_pc,link,mobile_link,image_link,category_name1,Shipping
11,[홈쇼핑 따라잡기] 다낭/호이안 4~6일  #월드체인 5성호텔 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #5대특식,"539,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2023/01/12/10000/5dda58cb-40f4-4d66-82a0-089d346040b8.jpg,패키지,0
12,싱가포르 5~6일 #완전특가 #가격이혜택 #비교불가,"939,800",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2018/10/26/10000/993a9ab5-1e90-46af-a49f-0068eb347197.jpg,패키지,0
13,대만 3~4일 #베스트셀러 #101타워 #화련일주,"949,900",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2018/08/16/10000/14329162-ea36-433f-abd1-8355fbb2934f.jpg,패키지,0
14,[100% 출발확정] 방콕/파타야 5일 #전일정5성호텔 #홈쇼핑방송상품,"429,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2019/01/22/10000/5238a85a-fc52-45cf-b206-0e5aec3cb501.jpg,패키지,0
15,스페인/포르투갈 9~11일 #베스트셀러 #시내호텔1박 #루프탑레스토랑 #맛10,"3,590,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2019/01/16/10000/d6c14173-9adc-4950-bf2c-cbe008af78fd.jpeg,패키지,0
16,오사카 3~4일 #100%출발확정,"749,900",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2019/07/08/10000/7ae0a619-e4d2-4483-a4f1-4c295df6cae3.jpg,카테고리 없음,0
17,홍콩/마카오 3~4일 #베스트셀러 #스마트초이스,"639,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2017/09/26/10000/8f98279a-b551-494c-a612-9f9392c2671e.jpg,패키지,0
18,스페인 일주 8~9일 #베스트셀러 #시내호텔1박 #루프탑레스토랑 #맛10,"3,399,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2019/08/01/10000/92a8f11b-f6ce-4911-9795-a8ee416b87fd.jpg,패키지,0
19,서유럽 4국 (영국/프랑스/스위스/이탈리아) 9~11일 #베스트셀러,"4,890,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2019/04/17/10000/2f8226d8-860d-4140-9c46-ec7bcce7e840.jpg,패키지,0
20,서유럽 3국 (프랑스/스위스/이탈리아) 8~12일 #베스트셀러,"4,390,000",https://wing.hanatour.com/package/major-products?cntryCd=&cityCd=&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=&endDepDay=&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2017/12/13/10000/3d4eb903-2385-4181-841f-df38fe0b112a.jpg,패키지,0
